t01,exxEng01SOI,exxEng01AVG,StressEng01SOI,eyyEng01SOI,eyyEng01AVG,exyEng01SOI,exyEng01AVG,t02,exxEng02SOI,exxEng02AVG,StressEng02SOI,eyyEng02SOI,eyyEng02AVG,exyEng02SOI,exyEng02AVG,t03,exxEng03SOI,exxEng03AVG,StressEng03SOI,eyyEng03SOI,eyyEng03AVG,exyEng03SOI,exyEng03AVG,t04,exxEng04SOI,exxEng04AVG,StressEng04SOI,eyyEng04SOI,eyyEng04AVG,exyEng04SOI,exyEng04AVG,t05,exxEng05SOI,exxEng05AVG,StressEng05SOI,eyyEng05SOI,eyyEng05AVG,exyEng05SOI,exyEng05AVG,t06,exxEng06SOI,exxEng06AVG,StressEng06SOI,eyyEng06SOI,eyyEng06AVG,exyEng06SOI,exyEng06AVG
1.3572358,0.0013883148,0.001360285,1.56825,-0.00058491405,-0.00060407575,-1.4399896e-05,-6.2599804e-06,1.2658992,0.0010926249,0.0011159601,1.4059167,-0.00046706005,-0.00048148822,0.00023536869,0.00027099071,1.7325358,0.0015703947,0.0015231992,1.886125,-0.00067911522,-0.00065901203,0.00038302734,6.1523693e-05,0.78012921,0.00077515253,0.00076744554,0.9445,-0.00030538986,-0.00029931507,-3.548347e-05,-3.0195244e-05,1.7058967,0.0017428433,0.001684545,1.9652917,-0.00068978287,-0.00069867596,0.00016418848,5.5266027e-05,1.1780791,0.0012472721,0.0010930186,1.418,-0.00074012635,-0.00043598281,6.6146388e-05,0.00013604125
1.5585358,0.0014894049,0.0015173536,1.7828333,-0.00070188668,-0.00073741638,1.7500153e-05,7.2300261e-06,1.4671992,0.0012408575,0.0012760532,1.6057917,-0.00051820254,-0.00050078724,0.00026087702,0.00032072642,1.9338358,0.0017178825,0.0017030537,2.1195417,-0.00077933907,-0.00075665875,0.00037649286,7.2640338e-05,0.99187887,0.0009815708,0.00096347998,1.1872917,-0.0003908879,-0.0003670878,-4.4455912e-05,-4.919709e-05,1.9072967,0.0019240676,0.0018885168,2.2067083,-0.00076855218,-0.00078344175,0.00017450922,5.7718866e-05,1.3780791,0.0015377787,0.0013586816,1.6755417,-0.00039664173,-0.0004389798,3.8839154e-05,6.8283031e-05
1.7599358,0.001761051,0.0017551356,2.0296667,-0.00076669744,-0.00077192456,-9.5599543e-06,8.1800335e-06,1.6684992,0.0012743395,0.0014030394,1.8338333,-0.00063047637,-0.00058405653,0.00034914894,0.00036513164,2.1351358,0.0019173839,0.0018736112,2.3341667,-0.00083375476,-0.00081786162,0.00040985497,8.0597448e-05,1.1596789,0.0011850461,0.0011509318,1.4206667,-0.00045226155,-0.00044480546,-5.0685315e-05,-5.4836596e-05,2.1085967,0.0021236997,0.0020918082,2.4267083,-0.00086235057,-0.0008611738,0.00017102662,5.0871494e-05,1.5780791,0.0017140089,0.0014953742,1.8646667,-0.000598475,-0.00059139457,7.6203403e-05,0.00013122761
1.9612358,0.0019182249,0.0019325477,2.249625,-0.00082137491,-0.00082285713,1.3300088e-05,7.4400277e-06,1.8697992,0.0014918998,0.0016035263,2.0524583,-0.00068873257,-0.00065061259,0.00039085837,0.00039436174,2.3364358,0.0020576014,0.0020586912,2.554125,-0.00098355898,-0.00092574873,0.00041772822,8.4304453e-05,1.3609789,0.0013469408,0.0013329083,1.6514167,-0.00055219798,-0.00055352725,-6.2912921e-05,-5.6066528e-05,2.3098967,0.0023191927,0.0022804876,2.65875,-0.00094726951,-0.00095166288,0.00017570743,5.9555473e-05,1.7780791,0.0018424548,0.0017036472,2.4508333,-0.00092958883,-0.00064351861,0.00010070307,9.664997e-05
2.1625358,0.0021384441,0.0021242261,2.475,-0.00092265718,-0.00096224883,1.5300117e-05,2.1700235e-05,2.0711992,0.001653223,0.0017337617,2.2872083,-0.00077057733,-0.00075168155,0.00041143762,0.00039818826,2.5378358,0.0023073695,0.0022361514,2.7915417,-0.0010224791,-0.0010058719,0.00039461584,7.8062547e-05,1.5622789,0.0015207517,0.0015416884,1.9035833,-0.00060233536,-0.00058708122,-6.9559081e-05,-5.4653706e-05,2.5111967,0.0025621643,0.0024895286,2.8814167,-0.0010403159,-0.0010275725,0.00019316165,6.1009261e-05,1.9780791,0.002053417,0.0018968882,2.3770833,-0.00084557716,-0.00062703443,0.00016956938,9.338406e-05
2.3638358,0.002400857,0.0023399582,2.7057083,-0.0010540932,-0.0010703125,1.9800196e-05,1.4300102e-05,2.2388992,0.001889731,0.0019742299,2.5219167,-0.00084059947,-0.00081570931,0.00040812926,0.00042252924,2.7391358,0.002419748,0.0024142729,3.0088333,-0.0011658313,-0.0010842452,0.00041470497,0.00010273928,1.7635789,0.0017366808,0.0017448011,2.135625,-0.00072055671,-0.00069277435,-5.5409665e-05,-5.0181641e-05,2.7125967,0.0027545047,0.0026826015,3.1295833,-0.0011323467,-0.0011267366,0.00019429087,5.727634e-05,2.1780791,0.0022551297,0.0021101374,2.65875,-0.00096646975,-0.00082612471,8.2039065e-05,0.00012434773
2.5652358,0.0025562071,0.0025261125,2.943125,-0.0010226883,-0.0010983631,1.7100146e-05,1.8700175e-05,2.4402992,0.0020494649,0.0021524299,2.7526667,-0.00090858756,-0.00090093973,0.00041312931,0.00042121469,2.9404358,0.0026358341,0.0025906936,3.232875,-0.0011450348,-0.001128574,0.00039697878,7.7655215e-05,1.9649789,0.0019851596,0.0019389106,2.3824167,-0.00075515285,-0.00072617174,-3.1825094e-05,-3.8754249e-05,2.9138967,0.0029359722,0.0028861744,3.3535833,-0.0012022258,-0.0012050223,0.00017883899,6.1727205e-05,2.3780791,0.0026284554,0.0022744065,2.8948333,-0.00091578824,-0.00083941597,8.3374275e-05,8.6809168e-05
2.7665358,0.002761009,0.0027187966,3.1698333,-0.0011464688,-0.001188735,2.2300249e-05,2.8700412e-05,2.6415992,0.0022428689,0.0023612034,2.9806667,-0.00094693572,-0.00097868665,0.00047295481,0.00044194763,3.1417358,0.0028642456,0.0028042845,3.4582083,-0.0011862579,-0.001209507,0.00040026609,8.9573811e-05,2.1662789,0.0021808712,0.0021374255,2.6279167,-0.00083550846,-0.00084540006,-4.753757e-05,-5.5381966e-05,3.1151967,0.0031379823,0.003073119,3.58025,-0.0013119687,-0.0012881261,0.00019326967,6.4381972e-05,2.5880791,0.002629861,0.0024213299,3.0852917,-0.00099904757,-0.00086366275,-6.6835178e-07,0.00014769791
2.9678358,0.0029623837,0.0028900635,3.40725,-0.0012431672,-0.0012664036,1.5800125e-05,1.1500066e-05,2.8428992,0.002504769,0.0025551772,3.21275,-0.0010064702,-0.0010216949,0.00043302273,0.00044960104,3.3431358,0.0030336285,0.0029803431,3.68625,-0.0013625382,-0.0013317076,0.00039575529,0.00010933698,2.3675789,0.0023482336,0.0023246172,2.862625,-0.0009040391,-0.0008960696,-7.3560494e-05,-7.2973837e-05,3.3165967,0.0033166202,0.003282546,3.809625,-0.0014024966,-0.0013707336,0.0001934247,6.899218e-05,2.7880791,0.0028850254,0.0026406332,3.3347917,-0.0010784412,-0.00096468149,0.00016105297,8.9786631e-05
3.1692358,0.0031751908,0.003129766,3.6299167,-0.0013200896,-0.0013375038,4.1500861e-05,3.6000648e-05,3.0441992,0.002612955,0.0027233863,3.442125,-0.0011533206,-0.0011372411,0.00046491604,0.0004416575,3.5444358,0.0031802188,0.0031599196,3.91025,-0.0014491888,-0.0013830946,0.00042930813,0.00010239024,2.5689789,0.002528001,0.0025159829,3.0987083,-0.0010222897,-0.0009879575,-7.8154846e-05,-7.2867345e-05,3.5178967,0.0035072793,0.003459517,4.0336667,-0.0014729958,-0.0014579979,0.00019246852,8.2012263e-05,2.9880791,0.0030763081,0.0028903849,3.615125,-0.001066714,-0.00097395442,5.7916877e-05,0.00010946699
