Time_02,Pressure_02,CurvatureMD_02,CurvatureTD_02,StrainEngMD_02,StrainEngTD_02,StressEngMD_02,StressEngTD_02,StrainTrueMD_02,StrainTrueTD_02,StressTrueMD_02,StressTrueTD_02,Temperature_02,Time_03,Pressure_03,CurvatureMD_03,CurvatureTD_03,StrainEngMD_03,StrainEngTD_03,StressEngMD_03,StressEngTD_03,StrainTrueMD_03,StrainTrueTD_03,StressTrueMD_03,StressTrueTD_03,Temperature_03,Time_04,Pressure_04,CurvatureMD_04,CurvatureTD_04,StrainEngMD_04,StrainEngTD_04,StressEngMD_04,StressEngTD_04,StrainTrueMD_04,StrainTrueTD_04,StressTrueMD_04,StressTrueTD_04,Temperature_04
0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.299999999999997,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.35
1.991851804879198,0.09129859108870404,-1.6852705742723827e-05,-8.193625783246815e-05,7.686108136661929e-05,0.0002570681583040635,0.24090517469848985,0.3782788052407913,7.685812770510584e-05,0.0002570351219466872,0.2409046949645571,0.3783462150865696,25.30331975300813,1.8424019240806329,0.08455909542513283,-1.7097052165641272e-05,-7.594250883130344e-05,6.819589821671634e-05,0.00022790882447853988,0.23483769653125278,0.35434338830859446,6.819357298220243e-05,0.00022788285720781094,0.23483728991997008,0.3543993640406954,25.34692933012653,1.7733502684285765,0.08098909670595003,5.347300306744918e-07,-1.724948978171054e-05,7.096894555935762e-05,0.00023178797856604483,0.2294179070450156,0.3481769797290768,7.096642738294098e-05,0.0002317611198828194,0.22941778580166253,0.34823278520571915,24.36182233512286
3.983703609758396,0.18259718217740808,-3.3705411485447654e-05,-0.0001638725156649363,0.00015372807035918257,0.0005142024006461465,0.4818112510158104,0.7564227239873449,0.00015371625541021167,0.0005140702438933744,0.4818093899291142,0.7566924301731393,25.30663950601626,3.6848038481612657,0.16911819085026567,-3.4194104331282544e-05,-0.00015188501766260688,0.00013639644711394006,0.00045586959138943506,0.4696761619518872,0.7085747759500227,0.00013638714596440486,0.0004557657144156219,0.46967457983994015,0.7087987280813908,25.343858660253066,3.546700536857153,0.16197819341190006,1.0694600613489837e-06,-3.449897956342108e-05,0.00014194292771008143,0.000463629682799116,0.45883601143816305,0.6962422978969869,0.00014193285476588196,0.0004635222397656388,0.45883557160332505,0.6964655704114383,24.373644670245717
5.975555414637594,0.27389577326611214,-5.0558117228171485e-05,-0.0002458087734974045,0.000230600967431549,0.0007714027440144378,0.7227181421138472,1.134431656001511,0.0002305743831153175,0.0007711053658400616,0.7227140848936713,1.135038645259709,25.309959259024392,5.527205772241899,0.25367728627539854,-5.129115649692381e-05,-0.00022782752649391032,0.00020460164700897288,0.0006838823125707716,0.7045153297182655,1.0626940890975476,0.00020458071894660727,0.000683648571623433,0.7045118697599102,1.0631980921220863,25.340787990379596,5.320050805285729,0.2429672901178501,1.6041900920234756e-06,-5.174846934513162e-05,0.0002129219468094412,0.000695525125152141,0.6882542454262737,1.044195878568426,0.00021289928214882295,0.0006952833596484581,0.6882533574049876,1.0446983556171574,24.38546700536857
7.967407219516792,0.36519436435481617,-6.741082297089531e-05,-0.0003277450313298726,0.0003074797730380219,0.0010286692054011226,0.9636257610683542,1.5123055009996207,0.00030743251082042335,0.0010281404877867488,0.9636187798582284,1.5133848603462785,25.313279012032528,7.369607696322531,0.33823638170053133,-6.838820866256509e-05,-0.00030377003532521376,0.0002728114982188945,0.0009119469998633001,0.9393551332282377,1.4167012538947028,0.0002727742919288097,0.0009115314288312438,0.9393491596798803,1.4175974561627815,25.33771732050613,7.093401073714306,0.3239563868238001,2.1389201226979673e-06,-6.899795912684216e-05,0.00028390600321492876,0.0009274743180809342,0.9176725411957378,1.392037645776772,0.0002838657095317639,0.0009270444795312776,0.9176711432066501,1.3929311408228766,24.39728934049143
9.959259024395989,0.4564929554435202,-8.426352871361914e-05,-0.00040968128916234073,0.00038436448763246034,0.0012860018018034935,1.204534020868889,1.8900441586524672,0.0003842906385255292,0.0012851756097334358,1.2045234748227855,1.891731075432848,25.31659876504066,9.212009620403164,0.4227954771256641,-8.548526082820635e-05,-0.00037971254415651714,0.0003410260010607846,0.0011400636651104357,1.1741955058211035,1.7705961964552814,0.00034096786491101213,0.0011394142860390547,1.1741864495998504,1.7719968202034768,25.33464665063266,8.866751342142882,0.4049454835297502,2.673650153372459e-06,-8.624744890855271e-05,0.0003548950972840359,0.0011594772740444181,1.1470908308724646,1.7397675235240728,0.0003548321369147049,0.0011588055994140969,1.1470889290083126,1.7411639260285958,24.409111675614287
11.951110829275189,0.5477915465322243,-0.00010111623445634297,-0.000491617546994809,0.0004612551116693897,0.0015434005502221737,1.4454428344187527,2.2676475285852886,0.000461148766230635,0.0015422107316801232,1.4454281697873426,2.270077290519418,25.31991851804879,11.054411544483798,0.5073545725507971,-0.00010258231299384762,-0.00045565505298782063,0.000409245155851945,0.0013682323201589242,1.4090363807775754,2.1243788428633263,0.00040916143789321454,0.001367297143246866,1.4090237395198204,2.1263961842441725,25.331575980759194,10.640101610571458,0.4859345802357002,3.2083801840469512e-06,-0.00010349693869026324,0.00042588922937425444,0.0013915340055039582,1.376509046521844,2.0873854357810355,0.0004257985642976459,0.0013905667192969163,1.3765067148099752,2.089396711234315,24.420934010737145
13.942962634154387,0.6390901376209284,-0.0001179689401990668,-0.0005735538048272771,0.0005381516456026691,0.0018008654676633373,1.6863521145349254,2.645115510377746,0.0005380068939357409,0.0017992458536268104,1.6863328647518998,2.6484235056059875,25.323238271056923,12.896813468564432,0.5919136679759298,-0.0001196793651594889,-0.0005315975618191241,0.00047746896290967733,0.0015964529768570657,1.6438776913197393,2.478049119173117,0.000477355010875417,0.0015951800004546767,1.6438610294397906,2.480795548284868,25.328505310885724,12.413451879000036,0.5669236769416502,3.7431102147214423e-06,-0.00012074642847197379,0.0004968883998430762,0.0016236445249242504,1.6059271201487044,2.4348913064870157,0.0004967649916805868,0.0016223278391797357,1.6059245006116376,2.4376294964400342,24.43275634586
15.934814439033584,0.7303887287096323,-0.00013482164594179062,-0.0006554900626597452,0.000615054089886824,0.0020583965711364893,1.9272617739480051,3.022448003563909,0.0006148650216408467,0.0020562809755734976,1.9272375597164568,3.026769720692557,25.326558024065054,14.739215392645063,0.6764727634010627,-0.00013677641732513018,-0.0006075400706504275,0.0005456974225512834,0.001824725647056935,1.8787193706110183,2.8316069514091615,0.0005455485838576195,0.0018230628576624875,1.8786983193597606,2.835194912325563,25.325434641012258,14.186802147428612,0.6479127736476002,4.277840245395935e-06,-0.00013799591825368432,0.0005678926090484371,0.001855808844772655,1.8353449836972764,2.7822850595500013,0.0005677314190635278,0.0018540889590625551,1.8353422864133002,2.7858622816457532,24.444578680982858
17.92666624391278,0.8216873197983363,-0.00015167435168451446,-0.0007374263204922134,0.0006919624449759354,0.0023159938776562417,2.1681717253021446,3.3996449076322324,0.0006917231493459526,0.0023133160975201844,2.168142254681014,3.4051159357791265,25.329877777073186,16.581617316725698,0.7610318588261954,-0.00015387346949077144,-0.0006834825794817308,0.0006139305350938429,0.0020530503426128277,2.1135613517561356,3.1850522655661844,0.0006137421568398219,0.0020509457148702986,2.113535609279731,3.1895942763662584,25.32236397113879,15.960152415857186,0.7289018703535503,4.812570276070426e-06,-0.00015524540803539487,0.0006389018573473848,0.0020880269775194193,2.064762569051152,3.1295666188466083,0.0006386978464464688,0.0020858500789453743,2.0647600722149626,3.134095066851472,24.456401016105715
